BTI414,16,414,400,FALSE
BTI416,16,416,400,FALSE
BTI418,16,418,400,FALSE
BTI421,16,421,400,FALSE
BTI439,16,439,400,FALSE
BTI439B,16,439,400,TRUE
BTI441,16,441,400,FALSE
BTI502,16,502,500,FALSE
BTI502B,16,502,500,TRUE
BTI507,16,507,500,FALSE
BTI510,16,510,500,FALSE
BTI522,16,522,500,FALSE
BTI523,16,523,500,FALSE
BTI524,16,524,500,FALSE
BTI625,16,625,600,FALSE
BTI635,16,635,600,FALSE
LA103,17,103,100,FALSE
LA106,17,106,100,FALSE
LA108,17,105,100,FALSE
LA207,17,207,200,FALSE
LA423,17,423,400,FALSE
LA436,17,436,400,FALSE
LA437,17,437,400,FALSE
LA512,17,512,500,FALSE
LA515,17,515,500,FALSE
LA608,17,608,600,FALSE
M101,18,101,100,FALSE
M102,18,102,100,FALSE
M104,18,104,100,FALSE
M104B,18,104,100,TRUE
M105,18,105,100,FALSE
M106,18,106,100,FALSE
M106B,18,106,100,TRUE
M108,18,108,100,FALSE
M109,18,109,100,FALSE
M110,18,110,100,FALSE
M202,18,202,200,FALSE
M203,18,203,200,FALSE
M205,18,205,200,FALSE
M206,18,206,200,FALSE
M207,18,207,200,FALSE
M208,18,208,200,FALSE
M301,18,301,300,FALSE
M301B,18,301,300,FALSE
M301C,18,301,300,FALSE
M302,18,302,300,FALSE
M302B,18,302,300,FALSE
M302C,18,302,300,FALSE
M303,18,303,300,FALSE
M401,18,401,400,FALSE
M402,18,402,400,FALSE
M403,18,403,430,FALSE
M403B,18,403,430,TRUE
M404,18,404,400,FALSE
M405,18,405,400,FALSE
M408,18,408,400,FALSE
M408B,18,408,400,FALSE
M409,18,409,400,FALSE
M409B,18,409,400,FALSE
M410,18,410,400,FALSE
M410B,18,410,400,FALSE
M411,18,411,400,FALSE
M411B,18,411,400,FALSE
M412,18,412,400,FALSE
M413,18,413,400,FALSE
M414,18,414,400,FALSE
M415,18,415,400,FALSE
M416,18,416,400,FALSE
M417,18,417,400,FALSE
M418,18,418,400,FALSE
M419,18,419,400,FALSE
M420,18,420,400,FALSE
M421,18,421,400,FALSE
M422,18,422,400,FALSE
M422B,18,422,400,FALSE
M423,18,423,400,FALSE
M424,18,424,400,FALSE
M425,18,425,400,FALSE
M426,18,426,400,FALSE
M427,18,427,400,FALSE
M428,18,428,400,FALSE
M429,18,429,400,FALSE
M430,18,430,400,FALSE
M431,18,431,400,FALSE
M432,18,432,400,FALSE
M434,18,434,400,FALSE
M435,18,435,400,FALSE
M436,18,436,400,FALSE
M437,18,437,400,FALSE
M438,18,438,400,FALSE
M439,18,439,400,FALSE
M440,18,440,400,FALSE
M441,18,441,400,FALSE
M442,18,442,400,FALSE
M444,18,444,400,FALSE
M501,18,501,520,FALSE
M501B,18,501,520,TRUE
